"filename", "language", "JavaScript", "JSON", "TypeScript", "Markdown", "HTML", "JavaScript JSX", "TypeScript JSX", "PostCSS", "JSON with Comments", "SVG", "Pug", "Prisma", "comment", "blank", "total"
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\LICENSE.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\README.md", "Markdown", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 193
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\eslint.config.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\index.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\package-lock.json", "JSON", 0, 5810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5811
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\package.json", "JSON", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\postcss.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-01.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-02.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-03.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-04.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-05.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-06.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-07.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-08.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-09.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-10.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-11.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-12.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Vibrantick\November 2025\LendingCart\admin-dashboard\public\images\brand\brand-13.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
